,Quarter,Tm,Detail,DET,GNB
0,1,Packers,John Jefferson 6 yard pass from Lynn Dickey (Jan Stenerud kick),0,7
1,1,Lions,Eddie Murray 31 yard field goal,3,7
2,2,Packers,Jan Stenerud 36 yard field goal,3,10
3,2,Packers,Jan Stenerud 34 yard field goal,3,13
4,2,Packers,Paul Coffman 1 yard pass from Lynn Dickey (Jan Stenerud kick),3,20
5,3,Lions,Eric Hipple 11 yard rush (Eddie Murray kick),10,20
6,3,Lions,Eddie Murray 30 yard field goal,13,20
7,4,Lions,Freddie Scott 9 yard pass from Eric Hipple (Eddie Murray kick),20,20
8,OT,Lions,Eddie Murray 37 yard field goal,23,20
