,Quarter,Time,Tm,Detail,BAL,JAX
0,1.0,,Ravens,Michael Jackson 5 yard pass from Vinny Testaverde (Matt Stover kick),7,0
1,2.0,,Jaguars,Mike Hollis 23 yard field goal,7,3
2,2.0,,Ravens,Bam Morris 52 yard pass from Vinny Testaverde (Matt Stover kick),14,3
3,2.0,,Ravens,Matt Stover 21 yard field goal,17,3
4,3.0,,Jaguars,James Stewart 10 yard rush (Mike Hollis kick),17,10
5,3.0,,Ravens,Matt Stover 21 yard field goal,20,10
6,3.0,,Jaguars,Mike Hollis 33 yard field goal,20,13
7,4.0,,Jaguars,Mike Hollis 24 yard field goal,20,16
8,4.0,,Ravens,Derrick Alexander 21 yard pass from Vinny Testaverde (Matt Stover kick),27,16
9,4.0,,Jaguars,James Stewart 8 yard pass from Mark Brunell (pass failed),27,22
10,4.0,,Jaguars,Mark Brunell 1 yard rush (Keenan McCardell pass from Mark Brunell),27,30
