,Quarter,Tm,Detail,SFO,MIN
0,1.0,49ers,Bob Waters 6 yard rush (Tommy Davis kick),7,0
1,1.0,Vikings,Hugh McElhenny 13 yard rush (Mike Mercer kick),7,7
2,2.0,Vikings,Jerry Reichow 42 yard pass from George Shaw (Mike Mercer kick),7,14
3,2.0,Vikings,Mike Mercer 24 yard field goal,7,17
4,2.0,49ers,Billy Kilmer 1 yard rush (Tommy Davis kick),14,17
5,3.0,49ers,Billy Kilmer 2 yard rush (Tommy Davis kick),21,17
6,3.0,Vikings,Hugh McElhenny 32 yard rush (Mike Mercer kick),21,24
7,3.0,49ers,Tommy Davis 12 yard field goal,24,24
8,4.0,49ers,Billy Kilmer 5 yard rush (Tommy Davis kick),31,24
9,4.0,49ers,Billy Kilmer 20 yard rush (Tommy Davis kick),38,24
