,Quarter,Tm,Detail,OAK,GNB
0,2.0,Raiders,Dave Casper 11 yard pass from Ken Stabler (Errol Mann kick),7,0
1,2.0,Raiders,Terry Robiskie 11 yard rush (Errol Mann kick),14,0
2,2.0,Packers,Chester Marcol 34 yard field goal,14,3
3,4.0,Raiders,Arthur Whittington 7 yard rush (Errol Mann kick),21,3
4,4.0,Raiders,Arthur Whittington 10 yard rush (Errol Mann kick),28,3
