,Quarter,Time,Tm,Detail,JAX,ATL
0,1.0,7:04,Jaguars,Jimmy Smith 44 yard pass from Mark Brunell (Mike Hollis kick),7,0
1,2.0,14:14,Jaguars,Damon Jones 9 yard pass from Mark Brunell (Mike Hollis kick),14,0
2,2.0,8:36,Jaguars,Mike Hollis 27 yard field goal,17,0
3,2.0,0:29,Falcons,Tim Dwight 17 yard pass from Chris Chandler (Morten Andersen kick),17,7
4,3.0,8:10,Jaguars,Mike Hollis 24 yard field goal,20,7
5,3.0,1:41,Jaguars,Keenan McCardell 2 yard pass from Mark Brunell (Mike Hollis kick),27,7
6,4.0,4:29,Jaguars,Mike Hollis 34 yard field goal,30,7
