,Quarter,Time,Tm,Detail,GNB,STL
0,2.0,,Rams,Isaac Bruce 6 yard pass from Tony Banks (Chip Lohmiller kick),0,7
1,2.0,,Rams,"Safety, Favre called for intentional grounding in end zone",0,9
2,2.0,,Packers,Chris Jacke 37 yard field goal,3,9
3,3.0,,Packers,Doug Evans 32 yard interception return (Chris Jacke kick),10,9
4,3.0,,Packers,Keith Jackson 6 yard pass from Brett Favre (Chris Jacke kick),17,9
5,4.0,,Packers,Dorsey Levens 5 yard pass from Brett Favre (Chris Jacke kick),24,9
