,Quarter,Tm,Detail,BAL,DAL
0,1.0,Cowboys,Mike Clark 15 yard field goal,0,3
1,2.0,Colts,Lou Michaels 24 yard field goal,3,3
2,2.0,Cowboys,Lance Rentzel 18 yard pass from Craig Morton (Mike Clark kick),3,10
3,2.0,Colts,John Mackey 52 yard pass from Johnny Unitas (Lou Michaels kick),10,10
4,3.0,Cowboys,Pettis Norman 19 yard pass from Craig Morton (Mike Clark kick),10,17
5,3.0,Cowboys,Mike Clark 27 yard field goal,10,20
6,4.0,Cowboys,Walt Garrison 1 yard rush (Mike Clark kick),10,27
