,Quarter,Tm,Detail,BUF,NYJ
0,2.0,Bills,Grant Guthrie 9 yard field goal,3,0
1,3.0,Jets,Jim Turner 29 yard field goal,3,3
2,3.0,Jets,Jim Turner 33 yard field goal,3,6
3,4.0,Bills,Wayne Patrick 3 yard rush (Grant Guthrie kick),10,6
