,Quarter,Tm,Detail,DAL,NOR
0,1.0,Saints,Tony Baker 29 yard pass from Archie Manning (Charlie Durkee kick),0,7
1,2.0,Saints,Charlie Durkee 36 yard field goal,0,10
2,2.0,Saints,Archie Manning 13 yard rush (Charlie Durkee kick),0,17
3,3.0,Cowboys,Gloster Richardson 41 yard pass from Roger Staubach (Mike Clark kick),7,17
4,4.0,Cowboys,Bob Hayes 16 yard pass from Roger Staubach (Mike Clark kick),14,17
5,4.0,Saints,Archie Manning 2 yard rush (Charlie Durkee kick),14,24
