,Quarter,Tm,Detail,ATL,CHI
0,1.0,Bears,Neal Anderson 49 yard rush (Kevin Butler kick),0,7
1,1.0,Bears,Kevin Butler 20 yard field goal,0,10
2,1.0,Bears,Tom Waddle 41 yard pass from Jim Harbaugh (Kevin Butler kick),0,17
3,1.0,Falcons,Andre Rison 71 yard pass from Chris Miller (Norm Johnson kick),7,17
4,2.0,Bears,Neal Anderson 14 yard rush (Kevin Butler kick),7,24
5,2.0,Bears,Wendell Davis 11 yard pass from Jim Harbaugh (Kevin Butler kick),7,31
6,3.0,Falcons,Andre Rison 6 yard pass from Chris Miller (Norm Johnson kick),14,31
7,3.0,Falcons,Tony Jones 23 yard pass from Chris Miller (Norm Johnson kick),21,31
8,3.0,Bears,Brad Muster 14 yard rush (Kevin Butler kick),21,38
9,4.0,Falcons,Norm Johnson 46 yard field goal,24,38
10,4.0,Bears,Kevin Butler 21 yard field goal,24,41
11,4.0,Falcons,Andre Rison 10 yard pass from Chris Miller (Norm Johnson kick),31,41
