,Quarter,Time,Tm,Detail,MIA,DEN
0,1.0,11:34,Dolphins,Dan Carpenter 45 yard field goal,3,0
1,1.0,5:56,Dolphins,Dan Carpenter 47 yard field goal,6,0
2,1.0,4:58,Dolphins,Will Allen 32 yard interception return (Dan Carpenter kick),13,0
3,1.0,3:50,Broncos,Eddie Royal 2 yard pass from Jay Cutler (Matt Prater kick),13,7
4,2.0,0:02,Dolphins,Dan Carpenter 23 yard field goal,16,7
5,3.0,8:11,Broncos,Matt Prater 50 yard field goal,16,10
6,4.0,11:58,Dolphins,Dan Carpenter 41 yard field goal,19,10
7,4.0,11:10,Broncos,Peyton Hillis 1 yard pass from Jay Cutler (Matt Prater kick),19,17
8,4.0,3:08,Dolphins,Ronnie Brown 2 yard rush (Dan Carpenter kick),26,17
