,Quarter,Time,Tm,Detail,KAN,ARI
0,1.0,0:39,Chiefs,Todd Peterson 49 yard field goal,3,0
1,2.0,13:08,Cardinals,Bill Gramatica 29 yard field goal,3,3
2,2.0,6:19,Chiefs,Todd Peterson 29 yard field goal,6,3
3,2.0,0:00,Chiefs,Todd Peterson 33 yard field goal,9,3
4,3.0,9:17,Cardinals,Michael Pittman 24 yard rush (Bill Gramatica kick),9,10
5,4.0,14:16,Cardinals,David Boston 23 yard pass from Jake Plummer (Bill Gramatica kick),9,17
6,4.0,9:43,Cardinals,Thomas Jones 13 yard rush (Bill Gramatica kick),9,24
7,4.0,3:57,Chiefs,Derrick Alexander 34 yard pass from Trent Green (Todd Peterson kick),16,24
