,Quarter,Tm,Detail,CRD,PIT
0,3.0,Steelers,Jack O'Brien 4 yard pass from Jim Finks (Art Michalik kick),0,7
1,4.0,Cardinals,Leo Sanford 92 yard interception return (Pat Summerall kick),7,7
2,4.0,Steelers,Ray Mathews 27 yard pass from Jim Finks (Art Michalik kick),7,14
