,Quarter,Time,Tm,Detail,MIA,NYG
0,2.0,9:08,Dolphins,DeVante Parker 20 yard pass from Ryan Fitzpatrick (Jason Sanders kick),7,0
1,2.0,8:12,Giants,Golden Tate 51 yard pass from Eli Manning (Aldrick Rosas kick),7,7
2,2.0,0:47,Dolphins,Jason Sanders 24 yard field goal,10,7
3,3.0,11:59,Giants,Darius Slayton 5 yard pass from Eli Manning (Aldrick Rosas kick),10,14
4,3.0,8:49,Dolphins,Jason Sanders 47 yard field goal,13,14
5,3.0,6:24,Giants,"Safety, Patrick Laird tackled in end zone by Sam Beal",13,16
6,3.0,5:22,Giants,Saquon Barkley 1 yard rush (Aldrick Rosas kick),13,23
7,4.0,15:00,Giants,Saquon Barkley 10 yard rush (Aldrick Rosas kick),13,30
8,4.0,4:46,Giants,Javorius Allen 1 yard rush (Aldrick Rosas kick failed),13,36
9,4.0,2:01,Dolphins,DeVante Parker 29 yard pass from Ryan Fitzpatrick (Jason Sanders kick),20,36
