,Quarter,Tm,Detail,MIA,NYJ
0,1.0,Dolphins,Nat Moore 37 yard pass from Dan Marino (Uwe von Schamann kick),7,0
1,1.0,Jets,Wesley Walker 33 yard pass from Pat Ryan (Pat Leahy kick),7,7
2,2.0,Jets,Pat Leahy 32 yard field goal,7,10
3,3.0,Dolphins,Woody Bennett 3 yard rush (Uwe von Schamann kick),14,10
4,4.0,Jets,Freeman McNeil 6 yard rush (Pat Leahy kick),14,17
5,4.0,Dolphins,Mark Clayton 47 yard pass from Dan Marino (Uwe von Schamann kick),21,17
6,4.0,Dolphins,Uwe von Schamann 30 yard field goal,24,17
7,4.0,Dolphins,Pete Johnson 2 yard rush (Uwe von Schamann kick),31,17
