,Quarter,Time,Tm,Detail,TEN,KAN
0,1.0,7:15,Titans,Rob Bironas 49 yard field goal,3,0
1,1.0,2:16,Titans,LenDale White 6 yard rush (Rob Bironas kick),10,0
2,2.0,1:23,Titans,LenDale White 2 yard rush (Rob Bironas kick),17,0
3,3.0,0:20,Titans,Rob Bironas 46 yard field goal,20,0
4,4.0,7:45,Titans,LenDale White 80 yard rush (Rob Bironas kick),27,0
5,4.0,4:56,Chiefs,Nick Novak 26 yard field goal,27,3
6,4.0,4:01,Titans,Chris Johnson 66 yard rush (Rob Bironas kick),34,3
7,4.0,2:37,Chiefs,Tyler Thigpen 14 yard rush (Nick Novak kick),34,10
