,Quarter,Time,Tm,Detail,MIA,CIN
0,1.0,,Dolphins,Pete Stoyanovich 21 yard field goal,3,0
1,2.0,,Bengals,Carl Pickens 3 yard pass from Jeff Blake (Doug Pelfrey kick),3,7
2,2.0,,Dolphins,Eric Green 8 yard pass from Dan Marino (Pete Stoyanovich kick),10,7
3,2.0,,Bengals,Doug Pelfrey 28 yard field goal,10,10
4,2.0,,Dolphins,Pete Stoyanovich 46 yard field goal,13,10
5,3.0,,Dolphins,Pete Stoyanovich 36 yard field goal,16,10
6,3.0,,Bengals,Carl Pickens 44 yard pass from Jeff Blake (Doug Pelfrey kick),16,17
7,4.0,,Dolphins,Pete Stoyanovich 35 yard field goal,19,17
8,4.0,,Bengals,Carl Pickens 10 yard pass from Jeff Blake (pass failed),19,23
9,4.0,,Dolphins,O.J. McDuffie 16 yard pass from Dan Marino (Pete Stoyanovich kick),26,23
