,Quarter,Time,Tm,Detail,CLE,JAX
0,1.0,,Jaguars,Mike Hollis 42 yard field goal,0,3
1,1.0,,Jaguars,Willie Jackson 33 yard pass from Mark Brunell (Mike Hollis kick),0,10
2,2.0,,Browns,Michael Jackson 39 yard pass from Vinny Testaverde (Matt Stover kick),7,10
3,2.0,,Jaguars,Mike Hollis 20 yard field goal,7,13
4,3.0,,Browns,Lorenzo White 3 yard rush (Matt Stover kick),14,13
5,4.0,,Jaguars,Mark Brunell 27 yard rush (Willie Jackson pass from Mark Brunell),14,21
6,4.0,,Browns,Vinny Testaverde 1 yard rush (Matt Stover kick),21,21
7,4.0,,Jaguars,Mike Hollis 34 yard field goal,21,24
