,Quarter,Tm,Detail,NOR,CHI
0,1.0,Bears,Walter Payton 33 yard pass from Bob Avellini (Bob Thomas kick),0,7
1,1.0,Saints,Archie Manning 8 yard rush (Rich Szaro kick),7,7
2,2.0,Saints,Archie Manning 2 yard rush (Rich Szaro kick),14,7
3,2.0,Saints,Chuck Muncie 35 yard pass from Archie Manning (Rich Szaro kick),21,7
4,2.0,Bears,Bob Thomas 21 yard field goal,21,10
5,3.0,Saints,Archie Manning 11 yard rush (Rich Szaro kick),28,10
6,4.0,Saints,Bob Pollard 52 yard defensive fumble return (Rich Szaro kick),35,10
7,4.0,Bears,Walter Payton 21 yard rush (Bob Thomas kick),35,17
8,4.0,Saints,Jim Merlo 57 yard interception return (Rich Szaro kick),42,17
9,4.0,Bears,Walter Payton 1 yard rush (Bob Thomas kick),42,24
