,Quarter,Tm,Detail,BAL,WAS
0,1.0,Colts,Lou Michaels 20 yard field goal,3,0
1,1.0,Colts,John Mackey 34 yard pass from Johnny Unitas (Lou Michaels kick),10,0
2,2.0,Colts,Tony Lorick 12 yard rush (Lou Michaels kick),17,0
3,2.0,Colts,Alvin Haymond 30 yard interception return (Lou Michaels kick),24,0
4,2.0,Redskins,Sonny Jurgensen 27 yard rush (Bob Jencks kick),24,7
5,3.0,Colts,Raymond Berry 3 yard pass from Johnny Unitas (Lou Michaels kick),31,7
6,3.0,Colts,Jerry Hill 2 yard rush (Lou Michaels kick),38,7
