,Quarter,Tm,Detail,KAN,DEN
0,1.0,Broncos,Floyd Little 35 yard pass from Steve Ramsey (Jim Turner kick),0,7
1,1.0,Chiefs,Jan Stenerud 11 yard field goal,3,7
2,2.0,Chiefs,Jeff Kinney 1 yard rush (Jan Stenerud kick),10,7
3,2.0,Broncos,Jim Turner 16 yard field goal,10,10
4,3.0,Chiefs,Willie Frazier 16 yard pass from Mike Livingston (Jan Stenerud kick),17,10
5,3.0,Broncos,Bobby Anderson 15 yard rush (Jim Turner kick),17,17
6,3.0,Chiefs,Dennis Homan 9 yard pass from Mike Livingston (Jan Stenerud kick),24,17
7,4.0,Chiefs,Otis Taylor 29 yard pass from Mike Livingston (Jan Stenerud kick),31,17
8,4.0,Chiefs,Jim Kearney 43 yard interception return (Jan Stenerud kick),38,17
9,4.0,Broncos,Floyd Little 1 yard rush (Jim Turner kick),38,24
10,4.0,Chiefs,Jim Kearney 32 yard interception return (Jan Stenerud kick),45,24
