,Quarter,Time,Tm,Detail,KAN,SEA
0,1.0,9:18,Seahawks,Todd Peterson 31 yard field goal,0,3
1,1.0,2:39,Seahawks,Sean Dawkins 20 yard pass from Jon Kitna (Todd Peterson kick),0,10
2,2.0,6:23,Seahawks,Derrick Mayes 9 yard pass from Jon Kitna (Todd Peterson kick),0,17
3,2.0,1:14,Chiefs,Lonnie Johnson 4 yard pass from Elvis Grbac (Pete Stoyanovich kick),7,17
4,3.0,9:35,Seahawks,Todd Peterson 22 yard field goal,7,20
5,3.0,8:08,Chiefs,Joe Horn 76 yard pass from Elvis Grbac (Pete Stoyanovich kick),14,20
6,3.0,4:39,Seahawks,Todd Peterson 48 yard field goal,14,23
