,Quarter,Tm,Detail,BCL,WAS
0,1.0,Colts,Billy Stone 72 yard rush (Veto Kissell kick),7,0
1,2.0,Redskins,Sammy Baugh 1 yard rush (Bill Dudley kick),7,7
2,2.0,Redskins,Clyde Goodnight 22 yard pass from Sammy Baugh (Bill Dudley kick),7,14
3,2.0,Redskins,Bill Dudley 33 yard field goal,7,17
4,3.0,Colts,Paul Salata 57 yard pass from Y.A. Tittle (Veto Kissell kick),14,17
5,3.0,Redskins,Clyde Goodnight 21 yard pass from Sammy Baugh (Bill Dudley kick),14,24
6,4.0,Redskins,Hugh Taylor 21 yard pass from Sammy Baugh (Bill Dudley kick),14,31
7,4.0,Colts,Ernie Zalejski 81 yard interception return (Veto Kissell kick),21,31
8,4.0,Redskins,Eddie Saenz 12 yard rush (Bill Dudley kick),21,38
9,4.0,Colts,Hal Crisler 9 yard pass from Y.A. Tittle (Veto Kissell kick),28,38
