,Quarter,Tm,Detail,CLE,RAM
0,1.0,Rams,David Ray 48 yard field goal,0,3
1,1.0,Rams,David Ray 27 yard field goal,0,6
2,1.0,Rams,Bob Klein 23 yard pass from John Hadl (David Ray kick),0,13
3,1.0,Browns,Mike Phipps 25 yard rush (Don Cockroft kick),7,13
4,2.0,Rams,Harold Jackson 8 yard pass from John Hadl (David Ray kick),7,20
5,2.0,Browns,Don Cockroft 22 yard field goal,10,20
6,2.0,Rams,Tony Baker 4 yard rush (David Ray kick),10,27
7,3.0,Rams,David Ray 15 yard field goal,10,30
8,4.0,Browns,Frank Pitts 14 yard pass from Mike Phipps (Don Cockroft kick),17,30
