,Quarter,Tm,Detail,SDG,CIN
0,1.0,Chargers,Steve DeLine 26 yard field goal,3,0
1,1.0,Bengals,Ickey Woods 4 yard rush,3,6
2,1.0,Bengals,Cris Collinsworth 23 yard pass from Boomer Esiason (Jim Breech kick),3,13
3,2.0,Bengals,Ickey Woods 30 yard rush (Jim Breech kick),3,20
4,3.0,Bengals,James Brooks 2 yard pass from Boomer Esiason (Jim Breech kick),3,27
5,3.0,Chargers,Quinn Early 9 yard pass from Mark Malone (Steve DeLine kick),10,27
