,Quarter,Tm,Detail,PRT,BKN
0,2.0,Spartans,Dutch Clark 15 yard rush,6,0
1,2.0,Spartans,Dutch Clark 15 yard rush,12,0
2,2.0,Spartans,Dutch Clark 1 yard rush (Dutch Clark kick),19,0
