,Quarter,Tm,Detail,WAS,DAL
0,1.0,Cowboys,Doug Donley 6 yard pass from Danny White (Rafael Septien kick),0,7
1,2.0,Redskins,Mark Moseley 31 yard field goal,3,7
2,2.0,Cowboys,Doug Cosbie 2 yard pass from Danny White (Rafael Septien kick),3,14
3,2.0,Redskins,Mark Moseley 34 yard field goal,6,14
4,2.0,Cowboys,Mike Renfro 60 yard pass from Danny White (Rafael Septien kick),6,21
5,3.0,Redskins,Darrell Green 32 yard interception return (Mark Moseley kick),13,21
6,3.0,Redskins,Calvin Muhammad 22 yard pass from Joe Theismann (Mark Moseley kick),20,21
7,3.0,Redskins,Mark Moseley 21 yard field goal,23,21
8,4.0,Cowboys,Tony Hill 43 yard pass from Danny White (Rafael Septien kick),23,28
9,4.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),30,28
