,Quarter,Tm,Detail,DAL,STL
0,2.0,Cowboys,Tony Hill 8 yard pass from Danny White (Rafael Septien kick),7,0
1,2.0,Cowboys,Rafael Septien 19 yard field goal,10,0
2,3.0,Cardinals,Pat Tilley 46 yard pass from Neil Lomax (Jess Atkinson kick),10,7
3,3.0,Cardinals,Earl Ferrell 8 yard rush (Jess Atkinson kick),10,14
4,4.0,Cardinals,J.T. Smith 9 yard pass from Neil Lomax (Jess Atkinson kick),10,21
