,Quarter,Tm,Detail,HOU,DAL
0,1.0,Cowboys,Herschel Walker 1 yard rush (Roger Ruzek kick),0,7
1,2.0,Oilers,Tony Zendejas 28 yard field goal,3,7
2,2.0,Oilers,Mike Rozier 12 yard rush (Tony Zendejas kick),10,7
3,2.0,Cowboys,Roger Ruzek 29 yard field goal,10,10
4,3.0,Cowboys,Steve Pelluer 3 yard rush (Roger Ruzek kick),10,17
5,3.0,Oilers,Tony Zendejas 49 yard field goal,13,17
6,4.0,Oilers,Drew Hill 5 yard pass from Warren Moon,19,17
7,4.0,Oilers,Tony Zendejas 47 yard field goal,22,17
8,4.0,Oilers,Tony Zendejas 22 yard field goal,25,17
