,Quarter,Tm,Detail,SDG,KAN
0,1.0,Chiefs,Stephone Paige 56 yard pass from Todd Blackledge (Nick Lowery kick),0,7
1,1.0,Chargers,Bob Thomas 24 yard field goal,3,7
2,2.0,Chiefs,Herman Heard 7 yard rush (Nick Lowery kick),3,14
3,2.0,Chiefs,Mike Pruitt 1 yard rush (Nick Lowery kick),3,21
4,2.0,Chiefs,Stephone Paige 84 yard pass from Bill Kenney (Nick Lowery kick),3,28
5,2.0,Chiefs,Jonathan Hayes 6 yard pass from Bill Kenney (Nick Lowery kick),3,35
6,2.0,Chargers,Bob Thomas 26 yard field goal,6,35
7,3.0,Chargers,Wes Chandler 5 yard pass from Mark Herrmann (Bob Thomas kick),13,35
8,3.0,Chiefs,Nick Lowery 34 yard field goal,13,38
9,4.0,Chargers,Tim Spencer 2 yard rush (Bob Thomas kick),20,38
10,4.0,Chargers,Lionel James 8 yard pass from Mark Herrmann (Bob Thomas kick),27,38
11,4.0,Chargers,Trumaine Johnson 20 yard pass from Mark Herrmann (Bob Thomas kick),34,38
