,Quarter,Tm,Detail,IND,CLE
0,2.0,Colts,Dean Biasucci 33 yard field goal,3,0
1,2.0,Colts,Dean Biasucci 37 yard field goal,6,0
2,2.0,Colts,Dean Biasucci 41 yard field goal,9,0
3,3.0,Browns,Brian Brennan 19 yard pass from Bernie Kosar (Jeff Jaeger kick),9,7
