,Quarter,Time,Tm,Detail,NWE,WAS
0,1.0,9:42,Redskins,John Hall 38 yard field goal,0,3
1,1.0,2:12,Patriots,Adam Vinatieri 23 yard field goal,3,3
2,2.0,11:40,Redskins,John Hall 29 yard field goal,3,6
3,3.0,13:35,Redskins,Ladell Betts 1 yard rush (John Hall kick),3,13
4,3.0,5:08,Redskins,Rock Cartwright 3 yard rush (John Hall kick),3,20
5,3.0,2:13,Patriots,David Givens 29 yard pass from Tom Brady (Adam Vinatieri kick),10,20
6,4.0,2:10,Patriots,Larry Centers 7 yard pass from Tom Brady (Adam Vinatieri kick),17,20
