,Quarter,Tm,Detail,NYG,STL
0,1.0,Cardinals,Johnny Roland 10 yard pass from Charley Johnson (Jim Bakken kick),0,7
1,1.0,Giants,Aaron Thomas 17 yard pass from Fran Tarkenton (Pete Gogolak kick),7,7
2,1.0,Cardinals,Johnny Roland 2 yard rush (Jim Bakken kick),7,14
3,2.0,Cardinals,Johnny Roland 3 yard rush (Jim Bakken kick),7,21
4,2.0,Giants,Pete Gogolak 40 yard field goal,10,21
5,3.0,Cardinals,Cid Edwards 1 yard rush (Jim Bakken kick),10,28
6,4.0,Cardinals,Roy Shivers 4 yard rush (Jim Bakken kick),10,35
7,4.0,Giants,Ernie Koy 5 yard pass from Fran Tarkenton (Pete Gogolak kick),17,35
8,4.0,Cardinals,John Gilliam 60 yard pass from Jim Hart (Jim Bakken kick),17,42
