,Quarter,Tm,Detail,SFO,NYG
0,1.0,49ers,Gordie Soltau 49 yard pass from Y.A. Tittle (Gordie Soltau kick),7,0
1,2.0,Giants,Bill Stribling 22 yard pass from Charlie Conerly (Ray Poole kick),7,7
2,2.0,Giants,Ray Poole 40 yard field goal,7,10
3,3.0,Giants,Ray Poole 25 yard field goal,7,13
4,3.0,Giants,Eddie Price 1 yard rush (Ray Poole kick),7,20
5,4.0,49ers,Billy Wilson 6 yard pass from Y.A. Tittle (Gordie Soltau kick),14,20
6,4.0,Giants,Ray Poole 25 yard field goal,14,23
