,Quarter,Tm,Detail,DEN,MIN
0,1.0,Broncos,Vance Johnson 25 yard pass from John Elway (Rich Karlis kick),7,0
1,1.0,Vikings,Wade Wilson 1 yard rush (Chuck Nelson kick),7,7
2,2.0,Broncos,John Elway 1 yard rush (Rich Karlis kick),14,7
3,2.0,Vikings,D.J. Dozier 1 yard rush (Chuck Nelson kick),14,14
4,2.0,Broncos,Rich Karlis 43 yard field goal,17,14
5,3.0,Vikings,D.J. Dozier 3 yard rush,17,20
6,3.0,Vikings,D.J. Dozier 5 yard rush (Chuck Nelson kick),17,27
7,4.0,Vikings,Leo Lewis 5 yard pass from Wade Wilson (Chuck Nelson kick),17,34
8,4.0,Broncos,Gene Lang 4 yard pass from John Elway (Rich Karlis kick),24,34
9,4.0,Broncos,Rich Karlis 51 yard field goal,27,34
