,Quarter,Tm,Detail,NWE,BAL
0,1.0,Patriots,Mike Haynes 36 yard interception return (David Posey kick),7,0
1,1.0,Colts,Lyle Blackwood 21 yard interception return (Toni Linhart kick),7,7
2,1.0,Patriots,Harold Jackson 23 yard pass from Steve Grogan (David Posey kick),14,7
3,2.0,Patriots,Andy Johnson 11 yard rush (David Posey kick),21,7
4,3.0,Patriots,Stanley Morgan 75 yard pass from Steve Grogan (David Posey kick),28,7
5,3.0,Colts,Ron Lee 19 yard pass from Bill Troup (Toni Linhart kick),28,14
6,4.0,Patriots,Sam Cunningham 4 yard rush (David Posey kick),35,14
