,Quarter,Tm,Detail,HOU,DEN
0,1.0,Oilers,Ernest Givins 8 yard pass from Warren Moon (Al Del Greco kick),7,0
1,2.0,Broncos,David Treadwell 45 yard field goal,7,3
2,2.0,Broncos,Gaston Green 67 yard rush (David Treadwell kick),7,10
3,3.0,Oilers,Lorenzo White 3 yard rush (Al Del Greco kick),14,10
4,3.0,Broncos,Mark Jackson 42 yard pass from John Elway (David Treadwell kick),14,17
5,4.0,Broncos,David Treadwell 28 yard field goal,14,20
6,4.0,Oilers,Haywood Jeffires 7 yard pass from Warren Moon (Al Del Greco kick),21,20
7,4.0,Broncos,Reggie Rivers 20 yard rush (David Treadwell kick),21,27
