,Quarter,Time,Tm,Detail,PHI,GNB
0,2.0,,Packers,Ryan Longwell 30 yard field goal,0,3
1,2.0,,Packers,William Henderson 1 yard pass from Brett Favre (Ryan Longwell kick),0,10
2,2.0,,Eagles,Jeff Graham 16 yard pass from Koy Detmer,6,10
3,3.0,,Eagles,Jeff Graham 4 yard pass from Koy Detmer (Chris Boniol kick),13,10
4,3.0,,Packers,Antonio Freeman 33 yard pass from Brett Favre (Ryan Longwell kick),13,17
5,4.0,,Eagles,Chris Boniol 34 yard field goal,16,17
6,4.0,,Packers,William Henderson 3 yard rush (Ryan Longwell kick),16,24
