,Quarter,Tm,Detail,SFO,PIT
0,1.0,Steelers,John Henry Johnson 30 yard rush (Lou Michaels kick),0,7
1,1.0,Steelers,Tom Tracy 11 yard pass from Rudy Bukich (Lou Michaels kick),0,14
2,1.0,Steelers,Lou Michaels 16 yard field goal,0,17
3,2.0,49ers,Monty Stickles 50 yard pass from John Brodie (Tommy Davis kick),7,17
4,3.0,49ers,Tommy Davis 20 yard field goal,10,17
5,3.0,Steelers,Lou Michaels 24 yard field goal,10,20
