,Quarter,Time,Tm,Detail,MIA,ARI
0,1.0,,Dolphins,Karim Abdul-Jabbar 3 yard rush (Joe Nedney kick),7,0
1,2.0,,Dolphins,Karim Abdul-Jabbar 3 yard rush (Joe Nedney kick),14,0
2,2.0,,Dolphins,Lamar Thomas 20 yard pass from Dan Marino (Joe Nedney kick),21,0
3,2.0,,Dolphins,Joe Nedney 36 yard field goal,24,0
4,3.0,,Cardinals,Cedric Smith 1 yard pass from Kent Graham (Greg Davis kick),24,7
5,3.0,,Cardinals,Greg Davis 26 yard field goal,24,10
6,3.0,,Dolphins,Irving Spikes 1 yard rush (Joe Nedney kick),31,10
7,4.0,,Dolphins,O.J. McDuffie 5 yard pass from Dan Marino (Joe Nedney kick),38,10
