,Quarter,Tm,Detail,NYG,MIN
0,1.0,Vikings,Bill Brown 3 yard rush (Fred Cox kick),0,7
1,1.0,Giants,Steve Thurlow 3 yard rush (Andy Stynchula kick),7,7
2,2.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),7,14
3,2.0,Vikings,Fred Cox 33 yard field goal,7,17
4,3.0,Vikings,Paul Flatley 7 yard pass from Fran Tarkenton (Fred Cox kick),7,24
5,3.0,Vikings,Gordie Smith 19 yard pass from Fran Tarkenton (Fred Cox kick),7,31
6,3.0,Vikings,Tommy Mason 5 yard rush (Fred Cox kick),7,38
7,4.0,Giants,Steve Thurlow 1 yard rush (Andy Stynchula kick),14,38
8,4.0,Vikings,"Safety, Prestel tackled Wood in end zone",14,40
