,Quarter,Tm,Detail,OAK,PIT
0,3.0,Steelers,Roy Gerela 18 yard field goal,0,3
1,4.0,Steelers,Roy Gerela 29 yard field goal,0,6
2,4.0,Raiders,Ken Stabler 30 yard rush (George Blanda kick),7,6
3,4.0,Steelers,Franco Harris 60 yard pass from Terry Bradshaw (Roy Gerela kick),7,13
