,Quarter,Tm,Detail,NWE,IND
0,1.0,Colts,Albert Bentley 1 yard rush (Dean Biasucci kick),0,7
1,2.0,Patriots,Hart Lee Dykes 27 yard pass from Steve Grogan (Jason Staurovsky kick),7,7
2,3.0,Patriots,Jason Staurovsky 39 yard field goal,10,7
3,4.0,Patriots,Jason Staurovsky 27 yard field goal,13,7
4,4.0,Patriots,Jason Staurovsky 25 yard field goal,16,7
5,4.0,Colts,Bill Brooks 68 yard pass from Jeff George (Dean Biasucci kick),16,14
