,Quarter,Tm,Detail,NYG,DAL
0,2.0,Giants,Frank Gifford 6 yard rush (Don Chandler kick),7,0
1,2.0,Giants,Del Shofner 19 yard pass from Y.A. Tittle (Don Chandler kick),14,0
2,2.0,Giants,Don Chandler 16 yard field goal,17,0
3,2.0,Giants,Frank Gifford 24 yard pass from Y.A. Tittle (Don Chandler kick),24,0
4,3.0,Giants,Don Chandler 37 yard field goal,27,0
5,3.0,Cowboys,Sam Baker 53 yard field goal,27,3
6,4.0,Giants,Del Shofner 23 yard pass from Y.A. Tittle (Don Chandler kick),34,3
7,4.0,Cowboys,Billy Howton 7 yard pass from Don Meredith (Sam Baker kick),34,10
8,4.0,Giants,Del Shofner 41 yard pass from Ralph Guglielmi (Don Chandler kick),41,10
