,Quarter,Time,Tm,Detail,NYJ,NWE
0,1,9:26,Jets,Leon Washington 7 yard pass from Brett Favre (Jay Feely kick),7,0
1,1,4:25,Patriots,Stephen Gostkowski 42 yard field goal,7,3
2,1,0:06,Jets,Jay Feely 22 yard field goal,10,3
3,2,9:44,Patriots,Stephen Gostkowski 31 yard field goal,10,6
4,2,9:32,Jets,Leon Washington 92 yard kickoff return (Jay Feely kick),17,6
5,2,4:57,Jets,Jerricho Cotchery 15 yard pass from Brett Favre (Jay Feely kick),24,6
6,2,0:15,Patriots,Jabar Gaffney 19 yard pass from Matt Cassel (Stephen Gostkowski kick),24,13
7,3,0:00,Patriots,Ben Watson 10 yard pass from Matt Cassel (Jabar Gaffney pass from Matt Cassel),24,21
8,4,10:16,Patriots,Stephen Gostkowski 47 yard field goal,24,24
9,4,3:10,Jets,Thomas Jones 1 yard rush (Jay Feely kick),31,24
10,4,0:01,Patriots,Randy Moss 16 yard pass from Matt Cassel (Stephen Gostkowski kick),31,31
11,OT,7:10,Jets,Jay Feely 34 yard field goal,34,31
