,Quarter,Time,Tm,Detail,BAL,OAK
0,1.0,3:47,Ravens,Willis McGahee 2 yard rush (Billy Cundiff kick),7,0
1,2.0,14:49,Raiders,Sebastian Janikowski 37 yard field goal,7,3
2,2.0,3:54,Ravens,Willis McGahee 77 yard rush (Billy Cundiff kick),14,3
3,2.0,0:47,Raiders,Zach Miller 12 yard pass from Charlie Frye (Sebastian Janikowski kick),14,10
4,3.0,4:06,Raiders,Sebastian Janikowski 39 yard field goal,14,13
5,4.0,13:16,Ravens,Willis McGahee 2 yard rush (Billy Cundiff kick),21,13
