,Quarter,Time,Tm,Detail,BUF,MIA
0,1.0,10:13,Bills,Dave Rayner 30 yard field goal,3,0
1,1.0,3:28,Dolphins,Anthony Fasano 1 yard pass from Matt Moore (Shayne Graham kick),3,7
2,1.0,0:58,Dolphins,Reggie Bush 5 yard rush (Shayne Graham kick),3,14
3,2.0,12:45,Dolphins,Charles Clay 12 yard pass from Matt Moore (Shayne Graham kick),3,21
4,2.0,1:36,Dolphins,Davone Bess 4 yard pass from Matt Moore (Shayne Graham kick),3,28
5,2.0,0:00,Bills,Dave Rayner 56 yard field goal,6,28
6,3.0,10:08,Dolphins,Lex Hilliard blocked punt recovery in end zone (Shayne Graham kick),6,35
7,4.0,13:25,Bills,"Safety, Daniel Thomas tackled by Kelvin Sheppard in the end zone.",8,35
