,Quarter,Tm,Detail,RAM,NYG
0,1.0,Rams,Eric Dickerson 1 yard rush (Mike Lansford kick),7,0
1,2.0,Rams,Mike Lansford 31 yard field goal,10,0
2,2.0,Rams,Mike Lansford 40 yard field goal,13,0
3,2.0,Giants,Bobby Johnson 36 yard pass from Phil Simms (Eric Schubert kick),13,7
4,3.0,Rams,Mike Lansford 26 yard field goal,16,7
5,3.0,Giants,Eric Schubert 40 yard field goal,16,10
6,3.0,Giants,Joe Morris 1 yard rush (Eric Schubert kick),16,17
7,4.0,Giants,Joe Morris 3 yard rush (Eric Schubert kick),16,24
8,4.0,Rams,Mike Lansford 25 yard field goal,19,24
