,Quarter,Time,Tm,Detail,OAK,ATL
0,1.0,4:59,Raiders,Sebastian Janikowski 52 yard field goal,3,0
1,2.0,8:47,Falcons,T.J. Duckett 28 yard rush (Jay Feely kick),3,7
2,2.0,2:11,Falcons,T.J. Duckett 2 yard rush (Jay Feely kick),3,14
3,2.0,1:14,Falcons,Roderick Coleman 39 yard interception return (Jay Feely kick),3,21
4,3.0,5:31,Falcons,T.J. Duckett 4 yard rush (Jay Feely kick),3,28
5,4.0,9:00,Falcons,T.J. Duckett 1 yard rush (Jay Feely kick),3,35
6,4.0,3:27,Raiders,Zack Crockett 1 yard rush (Sebastian Janikowski kick),10,35
