,Quarter,Tm,Detail,NWE,OAK
0,1.0,Raiders,Dave Casper 13 yard pass from Ken Stabler (Errol Mann kick),0,7
1,1.0,Raiders,Arthur Whittington 4 yard rush (Errol Mann kick),0,14
2,2.0,Patriots,Russ Francis 25 yard pass from Steve Grogan (Nick Lowery kick),7,14
3,3.0,Patriots,Horace Ivory 16 yard rush (Nick Lowery kick),14,14
4,4.0,Patriots,Sam Cunningham 1 yard rush (Nick Lowery kick),21,14
