,Quarter,Tm,Detail,SEA,MIN
0,1.0,Vikings,Jan Stenerud 43 yard field goal,0,3
1,1.0,Seahawks,Steve Largent 20 yard pass from Dave Krieg (Norm Johnson kick),7,3
2,2.0,Vikings,Jan Stenerud 44 yard field goal,7,6
3,2.0,Seahawks,Norm Johnson 41 yard field goal,10,6
4,3.0,Vikings,Jan Stenerud 28 yard field goal,10,9
5,4.0,Seahawks,Norm Johnson 31 yard field goal,13,9
6,4.0,Vikings,Jan Stenerud 34 yard field goal,13,12
7,4.0,Seahawks,Eric Lane 40 yard rush (Norm Johnson kick),20,12
