,Quarter,Time,Tm,Detail,JAX,DEN
0,1.0,,Broncos,Vaughn Hebron 1 yard rush,0,6
1,1.0,,Broncos,Shannon Sharpe 18 yard pass from John Elway (pass failed),0,12
2,2.0,,Jaguars,Mike Hollis 46 yard field goal,3,12
3,2.0,,Jaguars,Natrone Means 8 yard rush (Mike Hollis kick),10,12
4,2.0,,Jaguars,Mike Hollis 42 yard field goal,13,12
5,3.0,,Jaguars,Keenan McCardell 31 yard pass from Mark Brunell (Mike Hollis kick),20,12
6,4.0,,Jaguars,Mike Hollis 22 yard field goal,23,12
7,4.0,,Broncos,Terrell Davis 2 yard rush (Terrell Davis run),23,20
8,4.0,,Jaguars,Jimmy Smith 16 yard pass from Mark Brunell (Mike Hollis kick),30,20
9,4.0,,Broncos,Ed McCaffrey 15 yard pass from John Elway (Jason Elam kick),30,27
