,Quarter,Tm,Detail,AKR,POT
0,1,Maroons,Charlie Berry 18 yard pass from Jack Ernst (Charlie Berry kick),0,7
1,2,Maroons,Hoot Flanagan 2 yard rush (Charlie Berry kick),0,14
2,4,Maroons,Tony Latone 1 yard rush (Charlie Berry kick),0,21
