,Quarter,Time,Tm,Detail,TAM,CAR
0,1,,Panthers,John Kasay 23 yard field goal,0,3
1,2,1:59,Panthers,Shawn King 12 yard defensive fumble return (John Kasay kick),0,10
2,3,1:59,Panthers,Howard Griffith 1 yard rush (John Kasay kick),0,17
3,4,1:59,Panthers,Anthony Johnson 25 yard rush (John Kasay kick),0,24
