,Quarter,Tm,Detail,GNB,SFO
0,1.0,Packers,Billy Grimes 96 yard pass from Tobin Rote (Ted Fritsch kick),7,0
1,1.0,49ers,Johnny Strzykalski 7 yard rush (Gordie Soltau kick),7,7
2,1.0,49ers,Gordie Soltau 21 yard field goal,7,10
3,2.0,49ers,Joe Perry 10 yard pass from Frankie Albert (Gordie Soltau kick),7,17
4,2.0,49ers,Joe Perry 78 yard rush (Jack Nix pass from Frankie Albert ),7,24
5,3.0,Packers,Steve Pritko 3 yard pass from Tobin Rote (Clayton Tonnemaker kick),14,24
6,4.0,49ers,Fred Gehrke 4 yard pass from Frankie Albert,14,30
