,Quarter,Time,Tm,Detail,BUF,NYJ
0,1.0,,Jets,Nick Lowery 26 yard field goal,0,3
1,2.0,,Bills,Thurman Thomas 2 yard rush (Steve Christie kick),7,3
2,2.0,,Bills,Don Beebe 37 yard pass from Jim Kelly (Steve Christie kick),14,3
3,2.0,,Jets,Johnny Johnson 5 yard pass from Boomer Esiason (Nick Lowery kick),14,10
4,3.0,,Jets,Rob Moore 4 yard pass from Boomer Esiason,14,16
5,4.0,,Jets,Nick Lowery 45 yard field goal,14,19
6,4.0,,Bills,Steve Christie 39 yard field goal,17,19
7,4.0,,Jets,Nick Lowery 41 yard field goal,17,22
