,Quarter,Tm,Detail,SFO,NOR
0,1.0,Saints,Jubilee Dunbar 37 yard pass from Archie Manning (Bill McClard kick),0,7
1,1.0,49ers,Bruce Gossett 34 yard field goal,3,7
2,2.0,Saints,Bill McClard 19 yard field goal,3,10
3,2.0,Saints,Bill McClard 20 yard field goal,3,13
4,3.0,Saints,Bill McClard 29 yard field goal,3,16
5,4.0,49ers,Ted Kwalick 14 yard pass from Joe Reed (Bruce Gossett kick),10,16
