,Quarter,Time,Tm,Detail,NYJ,BUF
0,2.0,0:39,Bills,Antowain Smith 1 yard rush (Steve Christie kick),0,7
1,3.0,9:24,Bills,Doug Flutie 24 yard rush (Steve Christie kick),0,14
2,3.0,6:15,Jets,John Hall 31 yard field goal,3,14
3,4.0,2:05,Bills,Steve Christie 35 yard field goal,3,17
