,Quarter,Tm,Detail,DET,CIN
0,1.0,Lions,Dutch Clark 25 yard field goal,3,0
1,2.0,Lions,Glenn Presnell 6 yard rush (Dutch Clark kick),10,0
2,2.0,Lions,Glenn Presnell 22 yard field goal,13,0
3,3.0,Lions,Dutch Clark 82 yard rush (Dutch Clark kick failed),19,0
4,3.0,Lions,Dutch Clark 1 yard rush (Dutch Clark kick),25,0
5,3.0,Lions,Father Lumpkin 6 yard rush (Dutch Clark kick failed),32,0
6,4.0,Lions,Ace Gutowsky 2 yard rush (Dutch Clark kick failed),38,0
