,Quarter,Time,Tm,Detail,NOR,CHI
0,1.0,10:41,Bears,Mike Brown 35 yard interception return (Paul Edinger kick),0,7
1,2.0,13:26,Saints,Joe Horn 4 yard pass from Jeff Blake (Doug Brien kick),7,7
2,2.0,6:48,Saints,Joe Horn 47 yard pass from Jeff Blake (Doug Brien kick),14,7
3,2.0,1:52,Saints,Doug Brien 44 yard field goal,17,7
4,3.0,2:21,Saints,Ricky Williams 2 yard rush (Doug Brien kick),24,7
5,4.0,13:23,Bears,Paul Edinger 38 yard field goal,24,10
6,4.0,7:51,Saints,Andrew Glover 29 yard pass from Jeff Blake (Doug Brien kick),31,10
