,Quarter,Time,Tm,Detail,OAK,CHI
0,2.0,,Bears,Jeff Jaeger 44 yard field goal,0,3
1,2.0,,Raiders,Derrick Fenner 1 yard rush (Cole Ford kick),7,3
2,2.0,,Raiders,Cole Ford 28 yard field goal,10,3
3,3.0,,Raiders,Tim Brown 5 yard pass from Jeff Hostetler (Cole Ford kick),17,3
4,3.0,,Bears,Rashaan Salaam 11 yard pass from Dave Krieg (Jeff Jaeger kick),17,10
5,4.0,,Bears,Jeff Jaeger 24 yard field goal,17,13
6,4.0,,Bears,Jeff Jaeger 41 yard field goal,17,16
7,4.0,,Bears,Jeff Jaeger 30 yard field goal,17,19
