,Quarter,Time,Tm,Detail,TAM,NWE
0,1.0,12:19,Patriots,Adam Vinatieri 30 yard field goal,0,3
1,2.0,10:41,Buccaneers,Mike Alstott 5 yard rush (Martin Gramatica kick),7,3
2,2.0,7:25,Patriots,Troy Brown 66 yard punt return (Adam Vinatieri kick),7,10
3,2.0,0:31,Buccaneers,Reidel Anthony 8 yard pass from Shaun King (Martin Gramatica kick),14,10
4,3.0,3:09,Buccaneers,Mike Alstott 3 yard rush (Martin Gramatica kick),21,10
5,4.0,3:01,Patriots,Terry Glenn 39 yard pass from Drew Bledsoe,21,16
