,Quarter,Tm,Detail,PIT,SFO
0,1.0,Steelers,Roy Gerela 42 yard field goal,3,0
1,2.0,Steelers,Lynn Swann 22 yard pass from Terry Bradshaw (Roy Gerela kick),10,0
2,2.0,Steelers,Lynn Swann 25 yard pass from Terry Bradshaw (Roy Gerela kick),17,0
3,3.0,49ers,Paul Hofer 2 yard rush (Ray Wersching kick),17,7
4,4.0,Steelers,John Stallworth 11 yard pass from Terry Bradshaw (Roy Gerela kick),24,7
