,Quarter,Time,Tm,Detail,TAM,ATL
0,1.0,,Falcons,Craig Heyward 1 yard rush (Norm Johnson kick),0,7
1,1.0,,Falcons,Andre Rison 36 yard pass from Jeff George (Norm Johnson kick),0,14
2,2.0,,Falcons,Norm Johnson 27 yard field goal,0,17
3,2.0,,Falcons,Craig Heyward 5 yard rush (Norm Johnson kick),0,24
4,2.0,,Buccaneers,Michael Husted 35 yard field goal,3,24
5,3.0,,Falcons,Norm Johnson 29 yard field goal,3,27
6,4.0,,Buccaneers,Jackie Harris 11 yard pass from Craig Erickson (Michael Husted kick),10,27
7,4.0,,Falcons,Terance Mathis 32 yard pass from Jeff George (Norm Johnson kick),10,34
8,4.0,,Buccaneers,Michael Husted 38 yard field goal,13,34
